original_party_name,party_code,doc_type,doc_no,doc_date,due_date,od_days,age_days,days_0_30,days_31_60,days_61_90,days_91_120,days_121_150,days_151_180,days_181_210,above_210,unallocated,balance,pdcamount,division,party_name,mask_division
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,EJV20,1057,2024-12-31,2024-12-31,87.0,87,,,5400.94,,,,,,,5400.94,,div_0556003793,party_0618463295,div_2058489418
Al Sajid Mechanical Equipment Llc(AP-A0294),AP-A0294,LPI20,1073,2024-01-13,2024-05-12,320.0,440,,,,,,,,0.05,,0.05,,div_0556003793,party_1698622648,div_2058489418
Al Sajid Mechanical Equipment Llc(AP-A0294),AP-A0294,LPI20,1074,2024-01-13,2024-05-12,320.0,440,,,,,,,,0.02,,0.02,,div_0556003793,party_1698622648,div_2058489418
WAGDI NAZRI PAINTING AND PLASTERING WORKS(AP-W0028),AP-W0028,CPI20,1084,2024-08-29,2024-08-29,211.0,211,,,,,,,177.65,,,177.65,,div_0556003793,party_1923249459,div_2058489418
Tixe Srl(AP-T0046),AP-T0046,TRAV10,1101,2024-07-11,2024-07-11,260.0,260,,,,,,,,,-197103.7,-197103.7,,div_0556003793,party_0153181778,div_2058489418
MCJ Supplier - Cash(AP-M0095),AP-M0095,CPI20,1105,2024-11-28,2024-11-28,120.0,120,,,,60.0,,,,,,60.0,,div_0556003793,party_0420133784,div_2058489418
MCJ Supplier - Cash(AP-M0095),AP-M0095,CPI20,1111,2024-12-16,2024-12-16,102.0,102,,,,300.0,,,,,,300.0,,div_0556003793,party_0420133784,div_2058489418
carlos general contracting llc(AP-C0069),AP-C0069,CPI20,1114,2024-12-27,2024-12-27,91.0,91,,,4120.85,,,,,,,4120.85,,div_0556003793,party_0440678491,div_2058489418
Tixe Srl(AP-T0046),AP-T0046,EJV10,1140,2024-05-07,2024-05-07,325.0,325,,,,,,,,,-158560.0,-158560.0,,div_0556003793,party_0153181778,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1145,2024-03-01,2024-05-04,328.0,392,,,,,,,,,-0.39,-0.39,,div_0556003793,party_0141237887,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1147,2024-05-01,2024-05-01,331.0,331,,,,,,,,,-239.51,-239.51,,div_0556003793,party_0141237887,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1157,2024-02-16,2024-02-16,406.0,406,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1158,2024-02-16,2024-02-21,401.0,406,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
Tixe Srl(AP-T0046),AP-T0046,JV20,1162,2024-03-26,2024-03-26,367.0,367,,,,,,,,,-100000.0,-100000.0,,div_0556003793,party_0153181778,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1179,2024-05-22,2024-01-20,433.0,310,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1182,2024-05-22,2024-05-22,310.0,310,,,,,,,,,-10.5,-10.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1183,2024-05-22,2024-05-22,310.0,310,,,,,,,,,-10.5,-10.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1184,2024-05-22,2024-05-22,310.0,310,,,,,,,,,-10.5,-10.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1185,2024-05-22,2024-05-22,310.0,310,,,,,,,,,-10.5,-10.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1186,2024-05-22,2024-05-22,310.0,310,,,,,,,,,-10.5,-10.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1187,2024-05-22,2024-05-22,310.0,310,,,,,,,,,-10.5,-10.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1189,2024-05-24,2024-01-20,433.0,308,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1193,2024-05-27,2024-01-20,433.0,305,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1196,2024-05-28,2024-05-28,304.0,304,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1202,2024-05-30,2024-05-30,302.0,302,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1213,2024-06-01,2024-06-01,300.0,300,,,,,,,,,-227.24,-227.24,,div_0556003793,party_0141237887,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1223,2024-05-31,2024-06-13,288.0,301,,,,,,,,,-52.5,-52.5,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1295,2024-07-01,2024-07-01,270.0,270,,,,,,,,,-214.9,-214.9,,div_0556003793,party_0141237887,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,TRAV20,13,2024-09-30,2024-10-30,149.0,179,,,,,,,,,-447.32,-447.32,,div_0556003793,party_0618463295,div_2058489418
ALHARAM ALAAI PAINTING & PLASTERING(AP-A0463),AP-A0463,LPI20,1301,2024-02-26,2024-02-26,396.0,396,,,,,,,,3200.0,,3200.0,,div_0556003793,party_1963137949,div_2058489418
Pickle Mumbai(AP-P0019),AP-P0019,EJV10,1307,2024-07-01,2024-07-01,270.0,270,,,,,,,,,-2907.0,-2907.0,,div_0556003793,party_0547714254,div_2058489418
Fujian Viking Industry Co. Ltd(AP-F0065),AP-F0065,EJV10,1308,2024-07-01,2024-07-01,270.0,270,,,,,,,,,-80000.0,-80000.0,,div_0556003793,party_1184468713,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1312,2024-08-01,2024-08-02,238.0,239,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1323,2024-08-06,2024-08-06,234.0,234,,,,,,,,,-472.5,-472.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1324,2024-08-07,2024-01-20,433.0,233,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1327,2024-08-07,2024-08-07,233.0,233,,,,,,,,,-262.5,-262.5,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1329,2024-08-08,2024-01-20,433.0,232,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1336,2024-08-01,2024-08-01,239.0,239,,,,,,,,,-202.25,-202.25,,div_0556003793,party_0141237887,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,JV20,1336,2024-10-31,2024-10-31,148.0,148,,,,,,,,,-26.25,-26.25,,div_0556003793,party_0141237887,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1340,2024-08-21,2024-07-01,270.0,219,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1348,2024-08-29,2024-06-29,272.0,211,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1351,2024-08-30,2024-07-30,241.0,210,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1355,2024-09-03,2024-01-20,433.0,206,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1356,2024-09-02,2024-08-02,238.0,207,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1358,2024-09-02,2024-09-02,207.0,207,,,,,,,,,-189.51,-189.51,,div_0556003793,party_0141237887,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1361,2024-09-09,2024-09-09,200.0,200,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1367,2024-09-12,2024-09-09,200.0,197,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,PV20,1376,2024-09-16,2024-09-18,191.0,193,,,,,,,,,-1102.5,-1102.5,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1394,2024-09-25,2024-09-25,184.0,184,,,,,,,,,-525.0,-525.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1399,2024-09-30,2024-09-09,200.0,179,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1400,2024-09-30,2024-07-30,241.0,179,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1405,2024-10-01,2024-08-02,238.0,178,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1406,2024-10-01,2024-08-07,233.0,178,,,,,,,,,-262.5,-262.5,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1407,2024-10-01,2024-10-01,178.0,178,,,,,,,,,-176.57,-176.57,,div_0556003793,party_0141237887,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1408,2024-10-02,2024-09-09,200.0,177,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1411,2024-10-08,2024-09-09,200.0,171,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1422,2024-10-14,2024-09-09,200.0,165,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1440,2024-10-23,2024-10-23,156.0,156,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
BMQ Technical Supplies Company - L.L.C(AP-B0041),AP-B0041,LPI20,1450,2024-01-06,2024-05-05,327.0,447,,,,,,,,19.95,,19.95,,div_0556003793,party_0081626157,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1462,2024-10-30,2024-07-30,241.0,149,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1472,2024-11-01,2024-08-02,238.0,147,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1473,2024-11-01,2024-08-07,233.0,147,,,,,,,,,-262.5,-262.5,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1476,2024-11-01,2024-11-01,147.0,147,,,,,,,,,-163.33,-163.33,,div_0556003793,party_0141237887,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1509,2024-11-22,2024-05-28,304.0,126,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1526,2024-11-29,2024-11-29,119.0,119,,,,,,,,,-53.55,-53.55,,div_0556003793,party_0618463295,div_2058489418
Guangzhou Topman Paint Tools Limited(AP-G0078),AP-G0078,EJV10,1530,2024-11-01,2024-11-01,147.0,147,,,,,,,,,-20399.0,-20399.0,,div_0556003793,party_1754767233,div_2058489418
Guangzhou Topman Paint Tools Limited(AP-G0078),AP-G0078,EJV10,1531,2024-11-01,2024-11-01,147.0,147,,,,,,,,,-33842.5,-33842.5,,div_0556003793,party_1754767233,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1535,2024-09-28,2024-09-28,181.0,181,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1536,2024-11-30,2024-05-28,304.0,118,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1538,2024-10-01,2024-10-01,178.0,178,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1543,2024-12-04,2024-08-02,238.0,114,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1544,2024-12-01,2024-08-07,233.0,117,,,,,,,,,-262.5,-262.5,,div_0556003793,party_0618463295,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,1554,2024-12-04,2024-12-04,114.0,114,,,,,,,,,-149.96,-149.96,,div_0556003793,party_0141237887,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1555,2024-10-09,2024-10-09,170.0,170,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1570,2024-10-21,2024-10-21,158.0,158,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1593,2024-11-04,2024-11-04,144.0,144,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,1603,2024-12-30,2024-05-28,304.0,88,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1672,2024-12-25,2024-12-25,93.0,93,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,1677,2024-12-31,2024-12-31,87.0,87,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
BMQ Technical Supplies Company - L.L.C(AP-B0041),AP-B0041,LPI20,1894,2024-04-01,2024-07-30,241.0,361,,,,,,,,141.75,,141.75,,div_0556003793,party_0081626157,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,TRAV20,19,2024-10-17,2024-10-17,162.0,162,,,,,,,,,-708.75,-708.75,,div_0556003793,party_1692168247,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,TRAV20,20,2024-10-18,2024-10-18,161.0,161,,,,,,,,,-748.13,-748.13,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500001,2025-01-02,2024-08-02,238.0,85,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
AL MANARAH TYPING(AP-A0598),AP-A0598,EJV20,2500003,2025-01-16,2025-01-16,71.0,71,,,580.0,,,,,,,580.0,,div_0556003793,party_0593789112,div_2058489418
Aarya Auto Repairs Llc(AP-A0012),AP-A0012,EJV20,2500017,2025-02-28,2025-02-28,28.0,28,157.5,,,,,,,,,157.5,,div_0556003793,party_0178853918,div_2058489418
al nimir al asfar(AP-A0529),AP-A0529,CPI20,2500018,2025-03-18,2025-05-17,-50.0,10,7920.0,,,,,,,,,7920.0,,div_0556003793,party_1128606369,div_2058489418
Aarya Auto Repairs Llc(AP-A0012),AP-A0012,EJV20,2500018,2025-02-28,2025-02-28,28.0,28,168.0,,,,,,,,,168.0,,div_0556003793,party_0178853918,div_2058489418
Red Hat Auto Repair Workshop(AP-R0027),AP-R0027,EJV20,2500019,2025-02-05,2025-02-05,51.0,51,,1113.0,,,,,,,,1113.0,,div_0556003793,party_1568360011,div_2058489418
Red Hat Auto Repair Workshop(AP-R0027),AP-R0027,EJV20,2500020,2025-02-05,2025-02-05,51.0,51,,304.5,,,,,,,,304.5,,div_0556003793,party_1568360011,div_2058489418
Fire Man Safety Services - Sole Proprietorship L.L.C.(AP-F0029),AP-F0029,EJV20,2500021,2025-03-04,2025-03-04,24.0,24,603.75,,,,,,,,,603.75,,div_0556003793,party_1470079357,div_2058489418
DUBAI NATIONAL INSURANCE & REINSURANCE CO. (P.S.C)(AP-D0067),AP-D0067,EJV20,2500022,2025-03-04,2025-03-04,24.0,24,1186.5,,,,,,,,,1186.5,,div_0556003793,party_0147526165,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500024,2025-01-23,2025-03-24,4.0,64,,3453.03,,,,,,,,3453.03,,div_0556003793,party_1087986705,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,PV20,2500025,2025-01-21,2025-01-22,65.0,66,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
Jotun Abu Dhabi L.L.C.(AP-J0016),AP-J0016,LPI20,2500025,2025-01-23,2025-03-24,4.0,64,,2016.0,,,,,,,,2016.0,,div_0556003793,party_0309653914,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500026,2025-01-01,2024-08-07,233.0,86,,,,,,,,,-262.5,-262.5,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500026,2025-01-23,2025-03-24,4.0,64,,17955.0,,,,,,,,17955.0,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500027,2025-01-24,2025-03-25,3.0,63,,29450.42,,,,,,,,29450.42,,div_0556003793,party_1087986705,div_2058489418
Fireman Safety Services Sole Proprietorship LLC(AP-F0074),AP-F0074,EJV20,2500028,2025-03-20,2025-03-20,8.0,8,352.8,,,,,,,,,352.8,,div_0556003793,party_1557006023,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500028,2025-01-27,2025-03-28,,60,,3282.28,,,,,,,,3282.28,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500029,2025-01-27,2025-03-28,,60,,6615.0,,,,,,,,6615.0,,div_0556003793,party_1087986705,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,EJV20,2500029,2025-02-28,2025-02-28,28.0,28,4717.13,,,,,,,,,4717.13,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500030,2025-01-27,2025-03-28,,60,,14437.4,,,,,,,,14437.4,,div_0556003793,party_1087986705,div_2058489418
Al Sajid Mechanical Equipment Llc(AP-A0294),AP-A0294,PV20,2500031,2025-01-24,2025-01-24,63.0,63,,,,,,,,,-471.0,-471.0,,div_0556003793,party_1698622648,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500031,2025-01-27,2025-03-28,,60,,12434.1,,,,,,,,12434.1,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500032,2025-01-27,2025-03-28,,60,,5249.51,,,,,,,,5249.51,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500033,2025-01-16,2025-03-17,11.0,71,,,9828.0,,,,,,,9828.0,,div_0556003793,party_1087986705,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,RV20,2500033,2025-01-23,2025-01-23,64.0,64,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500034,2025-01-18,2025-03-19,9.0,69,,,6496.47,,,,,,,6496.47,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500035,2025-01-18,2025-03-19,9.0,69,,,15120.0,,,,,,,15120.0,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500036,2025-01-18,2025-03-19,9.0,69,,,26059.26,,,,,,,26059.26,,div_0556003793,party_1087986705,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,PV20,2500037,2025-01-25,2025-01-22,65.0,62,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500037,2025-01-18,2025-03-19,9.0,69,,,3783.78,,,,,,,3783.78,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500038,2025-01-18,2025-03-19,9.0,69,,,5579.28,,,,,,,5579.28,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500039,2025-01-18,2025-03-19,9.0,69,,,535.5,,,,,,,535.5,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500040,2025-01-23,2025-03-24,4.0,64,,14742.0,,,,,,,,14742.0,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500041,2025-01-23,2025-03-24,4.0,64,,4599.0,,,,,,,,4599.0,,div_0556003793,party_1087986705,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500042,2025-01-30,2025-01-30,57.0,57,,,,,,,,,-26.25,-26.25,,div_0556003793,party_0618463295,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,PV20,2500042,2025-01-30,2025-02-02,54.0,57,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500042,2025-01-23,2025-03-24,4.0,64,,23950.08,,,,,,,,23950.08,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500043,2025-01-24,2025-03-25,3.0,63,,15120.0,,,,,,,,15120.0,,div_0556003793,party_1087986705,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500044,2025-01-31,2025-02-02,54.0,56,,,,,,,,,-26.25,-26.25,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500044,2025-01-24,2025-03-25,3.0,63,,29937.6,,,,,,,,29937.6,,div_0556003793,party_1087986705,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,PV20,2500047,2025-01-27,2025-01-22,65.0,60,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500048,2025-01-28,2025-02-06,50.0,59,,,,,,,,,-400.0,-400.0,,div_0556003793,party_0618463295,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500049,2025-01-30,2024-05-28,304.0,57,,,,,,,,,-210.0,-210.0,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500049,2025-01-19,2025-03-20,8.0,68,,,30587.82,,,,,,,30587.82,,div_0556003793,party_1087986705,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500050,2025-02-01,2024-08-02,238.0,55,,,,,,,,,-315.0,-315.0,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500050,2025-01-19,2025-03-20,8.0,68,,,19991.4,,,,,,,19991.4,,div_0556003793,party_1087986705,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500051,2025-02-01,2024-08-07,233.0,55,,,,,,,,,-262.5,-262.5,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500051,2025-01-15,2025-03-16,12.0,72,,,13846.14,,,,,,,13846.14,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500052,2025-01-13,2025-03-14,14.0,74,,,588.0,,,,,,,588.0,,div_0556003793,party_1087986705,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500053,2025-01-13,2025-03-14,14.0,74,,,6300.0,,,,,,,6300.0,,div_0556003793,party_1087986705,div_2058489418
National Bank Of Fujairah Pjsc N B f(AP-N0012),AP-N0012,PV20,2500053,2025-02-07,2025-02-02,54.0,49,,,,,,,,,-1.05,-1.05,,div_0556003793,party_1692168247,div_2058489418
First Abu Dhabi Bank PJSC(AP-F0070),AP-F0070,PV20,2500053,2025-02-07,2025-01-30,57.0,49,,,,,,,,,-26.25,-26.25,,div_0556003793,party_0618463295,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500054,2025-01-22,2025-03-23,5.0,65,,3407.13,,,,,,,,3407.13,,div_0556003793,party_1087986705,div_2058489418
The National Bank of Ras Al Khaimah (P.S.C)(AP-N0013),AP-N0013,PV20,2500055,2025-01-02,2025-01-02,85.0,85,,,,,,,,,-136.31,-136.31,,div_0556003793,party_0141237887,div_2058489418
Jotun Abu Dhabi (L.L.C)- P C(AP-J0015),AP-J0015,LPI20,2500055,2025-01-22,2025-03-23,5.0,65,,6573.66,,,,,,,,6573.66,,div_0556003793,party_1087986705,div_2058489418
